Vardas               Pavarde              PAZ1     PAZ2     PAZ3     Egz.
Vardas86             Pavarde86             1        6        9        6     
Vardas87             Pavarde87             1        6        3        8     
Vardas88             Pavarde88             1        4        1        2     
Vardas89             Pavarde89             7        5        1        7     
Vardas90             Pavarde90             7        8        8        5     
Vardas91             Pavarde91             7        10       8        10    
Vardas92             Pavarde92             2        8        1        6     
Vardas93             Pavarde93             5        1        9        8     
Vardas94             Pavarde94             5        1        9        6     
Vardas95             Pavarde95             7        6        3        2     
Vardas96             Pavarde96             10       1        4        6     
Vardas97             Pavarde97             9        8        7        5     
Vardas98             Pavarde98             10       6        6        7     
Vardas99             Pavarde99             2        10       5        9     
Vardas100            Pavarde100            10       6        4        2     
Vardas101            Pavarde101            3        10       5        2     
Vardas102            Pavarde102            2        9        10       2     
Vardas103            Pavarde103            8        7        5        4     
Vardas104            Pavarde104            5        2        9        8     
Vardas105            Pavarde105            4        2        7        6     
Vardas106            Pavarde106            3        4        4        1     
Vardas107            Pavarde107            9        10       10       7     
Vardas108            Pavarde108            5        1        7        1     
Vardas109            Pavarde109            2        2        10       3     
Vardas110            Pavarde110            3        9        4        10    
Vardas111            Pavarde111            9        1        3        10    
Vardas112            Pavarde112            4        6        5        3     
Vardas113            Pavarde113            10       7        7        3     
Vardas114            Pavarde114            5        8        2        7     
Vardas115            Pavarde115            5        2        7        10    
Vardas116            Pavarde116            2        4        7        10    
Vardas117            Pavarde117            1        7        10       8     
Vardas118            Pavarde118            8        8        7        6     
Vardas119            Pavarde119            8        5        8        3     
Vardas120            Pavarde120            10       4        9        7     
Vardas121            Pavarde121            3        5        1        10    
Vardas122            Pavarde122            5        6        2        6     
Vardas123            Pavarde123            10       9        2        4     
Vardas124            Pavarde124            2        6        6        2     
Vardas125            Pavarde125            10       10       2        7     
Vardas126            Pavarde126            8        2        8        8     
Vardas127            Pavarde127            1        2        1        10    
Vardas128            Pavarde128            9        1        10       1     
Vardas129            Pavarde129            9        7        10       8     
Vardas130            Pavarde130            7        2        6        2     
Vardas131            Pavarde131            8        4        1        8     
Vardas132            Pavarde132            4        9        9        1     
Vardas133            Pavarde133            7        2        10       4     
Vardas134            Pavarde134            4        6        4        6     
Vardas135            Pavarde135            10       8        7        8     
Vardas136            Pavarde136            7        6        5        5     
Vardas137            Pavarde137            2        10       7        6     
Vardas138            Pavarde138            1        4        10       4     
Vardas139            Pavarde139            6        8        9        10    
Vardas140            Pavarde140            6        7        2        3     
Vardas141            Pavarde141            10       9        4        1     
Vardas142            Pavarde142            6        3        1        10    
Vardas143            Pavarde143            6        4        1        1     
Vardas144            Pavarde144            3        10       7        2     
Vardas145            Pavarde145            8        2        2        5     
Vardas146            Pavarde146            3        4        9        3     
Vardas147            Pavarde147            5        8        10       1     
Vardas148            Pavarde148            4        6        9        4     
Vardas149            Pavarde149            3        1        10       10    
Vardas150            Pavarde150            8        5        8        7     
Vardas151            Pavarde151            1        6        8        7     
Vardas152            Pavarde152            8        7        5        5     
Vardas153            Pavarde153            5        5        4        2     
Vardas154            Pavarde154            9        10       10       5     
Vardas155            Pavarde155            3        2        1        7     
Vardas156            Pavarde156            5        6        7        6     
Vardas157            Pavarde157            2        8        7        2     
Vardas158            Pavarde158            4        10       5        3     
Vardas159            Pavarde159            7        6        4        4     
Vardas160            Pavarde160            5        6        9        10    
Vardas161            Pavarde161            3        8        6        2     
Vardas162            Pavarde162            4        3        8        7     
Vardas163            Pavarde163            7        6        7        6     
Vardas164            Pavarde164            6        1        8        6     
Vardas165            Pavarde165            8        10       10       1     
Vardas166            Pavarde166            1        6        7        9     
Vardas167            Pavarde167            2        9        8        7     
Vardas168            Pavarde168            5        2        6        5     
Vardas169            Pavarde169            6        6        8        7     
Vardas170            Pavarde170            4        10       3        2     
Vardas171            Pavarde171            2        2        8        6     
Vardas172            Pavarde172            7        7        3        4     
Vardas173            Pavarde173            3        6        4        9     
Vardas174            Pavarde174            10       2        8        8     
Vardas175            Pavarde175            10       9        4        2     
Vardas176            Pavarde176            7        5        3        9     
Vardas177            Pavarde177            3        1        5        7     
Vardas178            Pavarde178            2        9        7        4     
Vardas179            Pavarde179            10       3        9        2     
Vardas180            Pavarde180            7        3        4        7     
Vardas181            Pavarde181            3        10       3        9     
Vardas182            Pavarde182            6        5        5        3     
Vardas183            Pavarde183            8        2        1        8     
Vardas184            Pavarde184            7        3        6        9     
Vardas185            Pavarde185            9        8        5        6     
Vardas186            Pavarde186            6        2        4        2     
Vardas187            Pavarde187            10       10       10       2     
Vardas188            Pavarde188            2        4        2        9     
Vardas189            Pavarde189            6        4        9        3     
Vardas190            Pavarde190            9        4        6        3     
Vardas191            Pavarde191            9        5        7        10    
Vardas192            Pavarde192            2        9        3        3     
Vardas193            Pavarde193            5        4        9        10    
Vardas194            Pavarde194            3        1        2        7     
Vardas195            Pavarde195            2        8        6        5     
Vardas196            Pavarde196            7        7        6        4     
Vardas197            Pavarde197            5        6        4        5     
Vardas198            Pavarde198            8        6        10       7     
Vardas199            Pavarde199            9        1        8        7     
Vardas200            Pavarde200            4        6        1        6     
Vardas201            Pavarde201            10       2        7        10    
Vardas202            Pavarde202            5        5        5        3     
Vardas203            Pavarde203            6        2        6        7     
Vardas204            Pavarde204            1        1        7        1     
Vardas205            Pavarde205            10       5        3        6     
Vardas206            Pavarde206            8        1        6        9     
Vardas207            Pavarde207            2        5        6        1     
Vardas208            Pavarde208            7        1        7        4     
Vardas209            Pavarde209            6        3        3        3     
Vardas210            Pavarde210            1        1        8        9     
Vardas211            Pavarde211            4        4        10       8     
Vardas212            Pavarde212            1        3        8        8     
Vardas213            Pavarde213            1        5        8        10    
Vardas214            Pavarde214            9        10       4        2     
Vardas215            Pavarde215            3        1        4        10    
Vardas216            Pavarde216            10       4        9        7     
Vardas217            Pavarde217            1        1        5        1     
Vardas218            Pavarde218            8        10       1        1     
Vardas219            Pavarde219            1        4        6        7     
Vardas220            Pavarde220            10       3        1        10    
Vardas221            Pavarde221            10       1        5        5     
Vardas222            Pavarde222            10       5        4        9     
Vardas223            Pavarde223            10       1        6        1     
Vardas224            Pavarde224            8        4        6        4     
Vardas225            Pavarde225            3        5        9        1     
Vardas226            Pavarde226            3        7        9        5     
Vardas227            Pavarde227            8        5        8        10    
Vardas228            Pavarde228            2        3        4        2     
Vardas229            Pavarde229            5        1        5        3     
Vardas230            Pavarde230            1        7        2        7     
Vardas231            Pavarde231            5        8        2        7     
Vardas232            Pavarde232            9        7        10       3     
Vardas233            Pavarde233            5        9        8        7     
Vardas234            Pavarde234            1        2        8        3     
Vardas235            Pavarde235            10       2        7        4     
Vardas236            Pavarde236            10       3        10       6     
Vardas237            Pavarde237            3        9        10       4     
Vardas238            Pavarde238            9        5        6        4     
Vardas239            Pavarde239            4        7        7        4     
Vardas240            Pavarde240            9        1        3        7     
Vardas241            Pavarde241            4        2        8        3     
Vardas242            Pavarde242            8        10       2        9     
Vardas243            Pavarde243            1        2        10       2     
Vardas244            Pavarde244            8        8        5        2     
Vardas245            Pavarde245            2        4        9        9     
Vardas246            Pavarde246            6        6        8        1     
Vardas247            Pavarde247            3        2        7        2     
Vardas248            Pavarde248            9        7        9        10    
Vardas249            Pavarde249            7        9        10       7     
Vardas250            Pavarde250            7        5        8        9     
Vardas251            Pavarde251            6        7        9        1     
Vardas252            Pavarde252            6        10       3        7     
Vardas253            Pavarde253            5        3        1        1     
Vardas254            Pavarde254            1        10       7        3     
Vardas255            Pavarde255            7        10       1        10    
Vardas256            Pavarde256            6        1        9        10    
Vardas257            Pavarde257            9        7        10       4     
Vardas258            Pavarde258            3        7        2        2     
Vardas259            Pavarde259            5        2        8        9     
Vardas260            Pavarde260            3        6        5        6     
Vardas261            Pavarde261            6        3        10       8     
Vardas262            Pavarde262            2        10       4        4     
Vardas263            Pavarde263            8        3        5        4     
Vardas264            Pavarde264            10       7        7        2     
Vardas265            Pavarde265            5        4        2        4     
Vardas266            Pavarde266            7        1        5        3     
Vardas267            Pavarde267            6        10       10       2     
Vardas268            Pavarde268            2        10       4        1     
Vardas269            Pavarde269            7        7        1        10    
Vardas270            Pavarde270            9        4        1        5     
Vardas271            Pavarde271            9        6        1        3     
Vardas272            Pavarde272            7        10       3        3     
Vardas273            Pavarde273            4        3        6        1     
Vardas274            Pavarde274            1        6        9        4     
Vardas275            Pavarde275            1        7        2        3     
Vardas276            Pavarde276            1        6        8        6     
Vardas277            Pavarde277            5        2        4        9     
Vardas278            Pavarde278            6        4        5        2     
Vardas279            Pavarde279            7        7        2        4     
Vardas280            Pavarde280            5        5        5        4     
Vardas281            Pavarde281            2        6        6        6     
Vardas282            Pavarde282            8        3        1        9     
Vardas283            Pavarde283            1        9        5        8     
Vardas284            Pavarde284            8        10       2        2     
Vardas285            Pavarde285            2        8        9        5     
Vardas286            Pavarde286            8        10       7        4     
Vardas287            Pavarde287            6        5        1        10    
Vardas288            Pavarde288            6        8        10       7     
Vardas289            Pavarde289            4        5        10       5     
Vardas290            Pavarde290            6        3        4        10    
Vardas291            Pavarde291            3        5        2        10    
Vardas292            Pavarde292            8        7        4        1     
Vardas293            Pavarde293            5        9        2        2     
Vardas294            Pavarde294            5        4        9        8     
Vardas295            Pavarde295            10       4        4        4     
Vardas296            Pavarde296            6        3        8        4     
Vardas297            Pavarde297            1        10       4        2     
Vardas298            Pavarde298            8        3        6        8     
Vardas299            Pavarde299            4        10       8        7     
Vardas300            Pavarde300            9        10       1        7     
Vardas301            Pavarde301            9        9        6        1     
Vardas302            Pavarde302            3        1        7        10    
Vardas303            Pavarde303            6        10       10       3     
Vardas304            Pavarde304            8        5        2        8     
Vardas305            Pavarde305            3        1        9        6     
Vardas306            Pavarde306            8        2        1        9     
Vardas307            Pavarde307            1        3        3        10    
Vardas308            Pavarde308            6        9        3        7     
Vardas309            Pavarde309            8        5        9        5     
Vardas310            Pavarde310            5        5        2        6     
Vardas311            Pavarde311            2        5        1        8     
Vardas312            Pavarde312            5        5        9        4     
Vardas313            Pavarde313            2        5        8        6     
Vardas314            Pavarde314            9        3        6        3     
Vardas315            Pavarde315            8        2        1        2     
Vardas316            Pavarde316            6        3        5        4     
Vardas317            Pavarde317            1        3        10       3     
Vardas318            Pavarde318            2        8        7        2     
Vardas319            Pavarde319            1        6        9        8     
Vardas320            Pavarde320            1        10       2        4     
Vardas321            Pavarde321            2        6        4        1     
Vardas322            Pavarde322            7        1        6        6     
Vardas323            Pavarde323            10       8        10       7     
Vardas324            Pavarde324            8        10       4        3     
Vardas325            Pavarde325            2        10       8        9     
Vardas326            Pavarde326            3        7        9        5     
Vardas327            Pavarde327            10       6        10       7     
Vardas328            Pavarde328            8        2        1        2     
Vardas329            Pavarde329            5        7        6        1     
Vardas330            Pavarde330            10       9        10       4     
Vardas331            Pavarde331            2        3        2        10    
Vardas332            Pavarde332            1        10       1        2     
Vardas333            Pavarde333            8        1        4        1     
Vardas334            Pavarde334            3        4        8        4     
Vardas335            Pavarde335            8        5        4        9     
Vardas336            Pavarde336            5        9        3        5     
Vardas337            Pavarde337            6        2        5        1     
Vardas338            Pavarde338            10       10       2        9     
Vardas339            Pavarde339            6        1        7        10    
Vardas340            Pavarde340            5        6        1        8     
Vardas341            Pavarde341            2        3        3        8     
Vardas342            Pavarde342            4        1        5        9     
Vardas343            Pavarde343            5        10       3        9     
Vardas344            Pavarde344            10       7        1        4     
Vardas345            Pavarde345            10       7        1        5     
Vardas346            Pavarde346            4        5        5        6     
Vardas347            Pavarde347            5        3        6        2     
Vardas348            Pavarde348            1        4        3        5     
Vardas349            Pavarde349            2        9        8        5     
Vardas350            Pavarde350            7        7        4        5     
Vardas351            Pavarde351            6        4        9        5     
Vardas352            Pavarde352            1        4        9        3     
Vardas353            Pavarde353            9        7        7        1     
Vardas354            Pavarde354            10       5        9        6     
Vardas355            Pavarde355            2        9        4        9     
Vardas356            Pavarde356            10       8        10       10    
Vardas357            Pavarde357            4        3        5        2     
Vardas358            Pavarde358            4        6        10       1     
Vardas359            Pavarde359            7        1        7        5     
Vardas360            Pavarde360            5        7        10       8     
Vardas361            Pavarde361            3        6        3        7     
Vardas362            Pavarde362            3        10       10       10    
Vardas363            Pavarde363            9        7        4        7     
Vardas364            Pavarde364            1        2        10       9     
Vardas365            Pavarde365            9        5        9        3     
Vardas366            Pavarde366            5        8        4        4     
Vardas367            Pavarde367            1        3        9        6     
Vardas368            Pavarde368            2        3        3        10    
Vardas369            Pavarde369            3        3        5        9     
Vardas370            Pavarde370            1        5        1        9     
Vardas371            Pavarde371            9        5        6        10    
Vardas372            Pavarde372            3        9        4        6     
Vardas373            Pavarde373            2        9        7        2     
Vardas374            Pavarde374            7        3        7        6     
Vardas375            Pavarde375            6        3        5        1     
Vardas376            Pavarde376            1        6        2        8     
Vardas377            Pavarde377            6        1        3        1     
Vardas378            Pavarde378            7        7        2        4     
Vardas379            Pavarde379            6        5        10       1     
Vardas380            Pavarde380            2        10       5        2     
Vardas381            Pavarde381            5        6        3        10    
Vardas382            Pavarde382            7        6        1        8     
Vardas383            Pavarde383            6        10       4        8     
Vardas384            Pavarde384            6        6        1        5     
Vardas385            Pavarde385            10       5        9        9     
Vardas386            Pavarde386            4        2        3        5     
Vardas387            Pavarde387            7        4        3        3     
Vardas388            Pavarde388            4        7        7        7     
Vardas389            Pavarde389            2        1        3        9     
Vardas390            Pavarde390            3        6        3        5     
Vardas391            Pavarde391            4        7        9        5     
Vardas392            Pavarde392            8        10       7        7     
Vardas393            Pavarde393            7        4        1        1     
Vardas394            Pavarde394            7        10       5        8     
Vardas395            Pavarde395            4        5        5        6     
Vardas396            Pavarde396            3        5        4        1     
Vardas397            Pavarde397            4        7        7        3     
Vardas398            Pavarde398            8        10       9        5     
Vardas399            Pavarde399            7        7        6        4     
Vardas400            Pavarde400            7        1        5        2     
Vardas401            Pavarde401            9        8        3        2     
Vardas402            Pavarde402            1        1        7        3     
Vardas403            Pavarde403            9        1        3        2     
Vardas404            Pavarde404            4        1        6        9     
Vardas405            Pavarde405            3        1        6        6     
Vardas406            Pavarde406            7        10       9        9     
Vardas407            Pavarde407            9        7        5        2     
Vardas408            Pavarde408            6        6        4        1     
Vardas409            Pavarde409            8        1        3        1     
Vardas410            Pavarde410            6        5        7        7     
Vardas411            Pavarde411            9        2        9        3     
Vardas412            Pavarde412            5        7        3        2     
Vardas413            Pavarde413            8        1        8        1     
Vardas414            Pavarde414            1        4        4        10    
Vardas415            Pavarde415            2        4        7        10    
Vardas416            Pavarde416            9        2        1        2     
Vardas417            Pavarde417            9        9        10       5     
Vardas418            Pavarde418            6        4        9        2     
Vardas419            Pavarde419            8        9        10       3     
Vardas420            Pavarde420            2        4        10       9     
Vardas421            Pavarde421            7        6        7        10    
Vardas422            Pavarde422            4        6        10       4     
Vardas423            Pavarde423            2        8        5        9     
Vardas424            Pavarde424            3        10       5        2     
Vardas425            Pavarde425            3        7        6        4     
Vardas426            Pavarde426            5        7        4        4     
Vardas427            Pavarde427            8        7        1        2     
Vardas428            Pavarde428            10       10       8        8     
Vardas429            Pavarde429            7        2        2        3     
Vardas430            Pavarde430            1        6        1        9     
Vardas431            Pavarde431            9        3        2        3     
Vardas432            Pavarde432            8        4        5        9     
Vardas433            Pavarde433            2        10       1        7     
Vardas434            Pavarde434            9        6        1        6     
Vardas435            Pavarde435            4        2        2        2     
Vardas436            Pavarde436            2        7        7        9     
Vardas437            Pavarde437            4        8        9        1     
Vardas438            Pavarde438            9        4        6        10    
Vardas439            Pavarde439            5        10       6        3     
Vardas440            Pavarde440            6        6        6        8     
Vardas441            Pavarde441            7        4        7        9     
Vardas442            Pavarde442            1        6        3        9     
Vardas443            Pavarde443            10       3        4        10    
Vardas444            Pavarde444            1        5        4        7     
Vardas445            Pavarde445            9        2        6        6     
Vardas446            Pavarde446            5        7        5        3     
Vardas447            Pavarde447            9        6        8        9     
Vardas448            Pavarde448            1        9        2        10    
Vardas449            Pavarde449            6        4        8        8     
Vardas450            Pavarde450            1        8        10       2     
Vardas451            Pavarde451            1        3        6        2     
Vardas452            Pavarde452            9        4        6        4     
Vardas453            Pavarde453            6        10       3        6     
Vardas454            Pavarde454            9        6        6        9     
Vardas455            Pavarde455            8        4        8        9     
Vardas456            Pavarde456            9        7        2        2     
Vardas457            Pavarde457            2        10       4        6     
Vardas458            Pavarde458            1        1        5        8     
Vardas459            Pavarde459            9        6        3        5     
Vardas460            Pavarde460            7        7        3        7     
Vardas461            Pavarde461            9        7        7        3     
Vardas462            Pavarde462            8        7        6        9     
Vardas463            Pavarde463            7        4        9        8     
Vardas464            Pavarde464            9        10       4        1     
Vardas465            Pavarde465            2        3        2        8     
Vardas466            Pavarde466            10       8        5        9     
Vardas467            Pavarde467            2        4        7        7     
Vardas468            Pavarde468            6        3        5        7     
Vardas469            Pavarde469            8        3        3        3     
Vardas470            Pavarde470            4        1        3        7     
Vardas471            Pavarde471            2        6        2        7     
Vardas472            Pavarde472            4        2        3        5     
Vardas473            Pavarde473            6        10       6        10    
Vardas474            Pavarde474            9        9        2        8     
Vardas475            Pavarde475            8        7        6        9     
Vardas476            Pavarde476            10       4        10       6     
Vardas477            Pavarde477            9        5        1        8     
Vardas478            Pavarde478            4        2        3        9     
Vardas479            Pavarde479            5        6        7        5     
Vardas480            Pavarde480            6        10       5        1     
Vardas481            Pavarde481            10       6        10       7     
Vardas482            Pavarde482            3        5        10       10    
Vardas483            Pavarde483            8        10       9        2     
Vardas484            Pavarde484            7        7        3        3     
Vardas485            Pavarde485            4        3        9        8     
Vardas486            Pavarde486            9        5        5        9     
Vardas487            Pavarde487            1        5        2        9     
Vardas488            Pavarde488            6        6        10       6     
Vardas489            Pavarde489            10       6        5        1     
Vardas490            Pavarde490            8        5        9        10    
Vardas491            Pavarde491            7        1        1        6     
Vardas492            Pavarde492            10       4        8        6     
Vardas493            Pavarde493            8        9        4        4     
Vardas494            Pavarde494            10       8        2        6     
Vardas495            Pavarde495            4        5        6        10    
Vardas496            Pavarde496            1        9        8        2     
Vardas497            Pavarde497            1        6        1        5     
Vardas498            Pavarde498            9        10       2        6     
Vardas499            Pavarde499            8        7        9        9     
Vardas500            Pavarde500            9        2        4        2     
Vardas501            Pavarde501            8        10       10       3     
Vardas502            Pavarde502            3        5        9        6     
Vardas503            Pavarde503            5        2        10       1     
Vardas504            Pavarde504            7        1        5        8     
Vardas505            Pavarde505            8        7        4        8     
Vardas506            Pavarde506            8        2        5        7     
Vardas507            Pavarde507            8        1        3        5     
Vardas508            Pavarde508            10       1        7        3     
Vardas509            Pavarde509            3        10       10       2     
Vardas510            Pavarde510            5        4        1        5     
Vardas511            Pavarde511            1        4        3        7     
Vardas512            Pavarde512            6        4        3        7     
Vardas513            Pavarde513            10       8        10       4     
Vardas514            Pavarde514            2        9        8        4     
Vardas515            Pavarde515            2        3        5        10    
Vardas516            Pavarde516            2        1        10       1     
Vardas517            Pavarde517            3        7        5        4     
Vardas518            Pavarde518            2        9        10       7     
Vardas519            Pavarde519            1        1        10       10    
Vardas520            Pavarde520            10       7        9        6     
Vardas521            Pavarde521            8        4        9        10    
Vardas522            Pavarde522            5        4        1        10    
Vardas523            Pavarde523            1        2        5        5     
Vardas524            Pavarde524            1        10       7        7     
Vardas525            Pavarde525            2        1        3        5     
Vardas526            Pavarde526            5        2        10       7     
Vardas527            Pavarde527            4        6        10       9     
Vardas528            Pavarde528            1        8        9        5     
Vardas529            Pavarde529            7        2        4        3     
Vardas530            Pavarde530            3        8        5        2     
Vardas531            Pavarde531            8        4        2        3     
Vardas532            Pavarde532            5        7        8        8     
Vardas533            Pavarde533            7        10       1        5     
Vardas534            Pavarde534            6        7        6        2     
Vardas535            Pavarde535            10       2        8        6     
Vardas536            Pavarde536            4        6        8        4     
Vardas537            Pavarde537            8        4        9        1     
Vardas538            Pavarde538            3        4        10       4     
Vardas539            Pavarde539            4        2        2        1     
Vardas540            Pavarde540            3        8        6        9     
Vardas541            Pavarde541            10       7        1        1     
Vardas542            Pavarde542            8        10       6        10    
Vardas543            Pavarde543            1        4        3        1     
Vardas544            Pavarde544            10       1        9        9     
Vardas545            Pavarde545            6        4        8        2     
Vardas546            Pavarde546            9        1        7        6     
Vardas547            Pavarde547            7        2        5        2     
Vardas548            Pavarde548            6        3        10       10    
Vardas549            Pavarde549            8        5        8        10    
Vardas550            Pavarde550            6        7        8        6     
Vardas551            Pavarde551            1        1        5        4     
Vardas552            Pavarde552            1        7        8        10    
Vardas553            Pavarde553            1        7        8        4     
Vardas554            Pavarde554            3        7        9        3     
Vardas555            Pavarde555            4        6        4        9     
Vardas556            Pavarde556            4        5        9        10    
Vardas557            Pavarde557            4        9        10       1     
Vardas558            Pavarde558            4        3        5        4     
Vardas559            Pavarde559            9        1        10       7     
Vardas560            Pavarde560            1        8        5        6     
Vardas561            Pavarde561            7        9        7        8     
Vardas562            Pavarde562            8        1        10       10    
Vardas563            Pavarde563            5        10       2        2     
Vardas564            Pavarde564            7        6        7        8     
Vardas565            Pavarde565            3        9        4        10    
Vardas566            Pavarde566            2        10       9        5     
Vardas567            Pavarde567            5        4        9        5     
Vardas568            Pavarde568            3        9        4        3     
Vardas569            Pavarde569            8        8        1        9     
Vardas570            Pavarde570            3        4        5        7     
Vardas571            Pavarde571            8        1        3        8     
Vardas572            Pavarde572            1        9        7        5     
Vardas573            Pavarde573            9        2        7        9     
Vardas574            Pavarde574            2        5        10       4     
Vardas575            Pavarde575            1        10       2        1     
Vardas576            Pavarde576            4        2        6        6     
Vardas577            Pavarde577            5        4        10       1     
Vardas578            Pavarde578            2        6        4        3     
Vardas579            Pavarde579            4        10       2        8     
Vardas580            Pavarde580            10       1        2        3     
Vardas581            Pavarde581            7        5        2        10    
Vardas582            Pavarde582            2        1        7        2     
Vardas583            Pavarde583            3        10       2        10    
Vardas584            Pavarde584            3        1        1        1     
Vardas585            Pavarde585            6        5        8        7     
Vardas586            Pavarde586            5        7        3        8     
Vardas587            Pavarde587            4        2        1        1     
Vardas588            Pavarde588            2        3        5        8     
Vardas589            Pavarde589            6        5        7        1     
Vardas590            Pavarde590            7        2        8        2     
Vardas591            Pavarde591            10       4        5        4     
Vardas592            Pavarde592            8        5        3        10    
Vardas593            Pavarde593            8        10       2        3     
Vardas594            Pavarde594            1        8        4        8     
Vardas595            Pavarde595            2        7        8        9     
Vardas596            Pavarde596            3        3        5        3     
Vardas597            Pavarde597            9        2        2        2     
Vardas598            Pavarde598            5        2        8        6     
Vardas599            Pavarde599            6        10       4        3     
Vardas600            Pavarde600            9        7        7        5     
Vardas601            Pavarde601            8        10       10       7     
Vardas602            Pavarde602            9        4        6        9     
Vardas603            Pavarde603            2        1        9        3     
Vardas604            Pavarde604            10       1        7        10    
Vardas605            Pavarde605            9        1        3        4     
Vardas606            Pavarde606            8        3        4        8     
Vardas607            Pavarde607            8        8        1        4     
Vardas608            Pavarde608            2        6        4        7     
Vardas609            Pavarde609            3        4        7        3     
Vardas610            Pavarde610            2        3        1        9     
Vardas611            Pavarde611            9        8        10       3     
Vardas612            Pavarde612            4        6        9        7     
Vardas613            Pavarde613            5        2        6        5     
Vardas614            Pavarde614            7        2        2        9     
Vardas615            Pavarde615            2        9        4        7     
Vardas616            Pavarde616            3        2        4        1     
Vardas617            Pavarde617            6        7        5        9     
Vardas618            Pavarde618            9        6        7        5     
Vardas619            Pavarde619            9        2        4        8     
Vardas620            Pavarde620            2        1        1        5     
Vardas621            Pavarde621            7        9        5        9     
Vardas622            Pavarde622            1        10       1        5     
Vardas623            Pavarde623            9        7        3        5     
Vardas624            Pavarde624            6        10       3        1     
Vardas625            Pavarde625            4        2        6        10    
Vardas626            Pavarde626            5        4        8        10    
Vardas627            Pavarde627            6        1        1        8     
Vardas628            Pavarde628            1        9        9        4     
Vardas629            Pavarde629            3        10       5        9     
Vardas630            Pavarde630            7        6        3        8     
Vardas631            Pavarde631            8        10       3        4     
Vardas632            Pavarde632            2        9        4        9     
Vardas633            Pavarde633            4        3        7        8     
